datetime,Peoria_WL,Henry_WL,Flow,Vel,Slope
1/1/2017 6:00,440.91,442.8,20400,2.45,1.02E-05
1/2/2017 6:00,440.71,442.49,18100,2.22,9.63E-06
1/3/2017 6:00,440.4,442.15,16400,2.06,9.47E-06
1/4/2017 6:00,440.13,441.97,16200,2.07,9.96E-06
1/5/2017 6:00,439.69,441.89,18500,2.4,1.19E-05
1/6/2017 6:00,440.24,441.97,17200,2.21,9.36E-06
1/7/2017 6:00,440.59,442.19,12900,1.6,8.66E-06
1/8/2017 6:00,440.53,442.268,13300,1.64,9.40E-06
1/9/2017 6:00,440.41,442.346,13700,1.68,1.05E-05
1/10/2017 6:00,440.39,442.424,14100,1.72,1.10E-05
1/11/2017 6:00,440.63,442.502,14500,1.76,1.01E-05
1/12/2017 6:00,440.85,442.58,14900,1.8,9.36E-06
1/13/2017 6:00,440.79,442.51,15200,1.85,9.31E-06
1/14/2017 6:00,439.91,442.77,18800,2.26,1.55E-05
1/15/2017 6:00,439.93,442.85,21400,2.57,1.58E-05
1/16/2017 6:00,440.22,442.74,18700,2.25,1.36E-05
1/17/2017 6:00,440.41,442.56,18900,2.31,1.16E-05
1/18/2017 6:00,441.04,443.93,34400,3.83,1.56E-05
1/19/2017 6:00,442.24,445.04,37500,3.82,1.52E-05
1/20/2017 6:00,443.14,445.48,36400,3.55,1.27E-05
1/21/2017 6:00,443.65,445.9,38400,3.61,1.22E-05
1/22/2017 6:00,444.51,446.89,45300,3.84,1.29E-05
1/23/2017 6:00,445.48,447.66,48600,3.81,1.18E-05
1/24/2017 6:00,446.01,447.96,44300,3.36,1.06E-05
1/25/2017 6:00,446.3,447.97,40500,3.06,9.04E-06
1/26/2017 6:00,446.28,447.91,39100,2.97,8.82E-06
1/27/2017 6:00,446.17,447.7,35700,2.76,8.28E-06
1/28/2017 6:00,445.96,447.322,33300,2.648,7.37E-06
1/29/2017 6:00,445.72,446.944,30900,2.536,6.62E-06
1/30/2017 6:00,445.34,446.566,28500,2.424,6.63E-06
1/31/2017 6:00,444.86,446.188,26100,2.312,7.19E-06
2/1/2017 6:00,444.54,445.81,23700,2.2,6.87E-06
2/2/2017 6:00,444.14,445.32,21400,2.07,6.39E-06
2/3/2017 6:00,443.67,444.77,17900,1.81,5.95E-06
2/4/2017 6:00,443.12,444.35,18900,1.98,6.66E-06
2/5/2017 6:00,442.57,444.03,18000,1.94,7.90E-06
2/6/2017 6:00,442.18,443.46,15000,1.67,6.93E-06
2/7/2017 6:00,441.77,443.05,16300,1.89,6.93E-06
2/8/2017 6:00,441.42,442.76,16700,1.99,7.25E-06
2/9/2017 6:00,441.18,442.79,20100,2.42,8.71E-06
2/10/2017 6:00,440.79,442.73,17800,2.14,1.05E-05
2/11/2017 6:00,440.84,442.6,18200,2.21,9.52E-06
2/12/2017 6:00,440.72,442.31,16600,2.06,8.60E-06
2/13/2017 6:00,440.43,442.05,15500,1.96,8.77E-06
2/14/2017 6:00,440.25,442.23,18400,2.32,1.07E-05
2/15/2017 6:00,440.35,442.22,18200,2.29,1.01E-05
2/16/2017 6:00,440.11,442.01,16200,2.07,1.03E-05
2/17/2017 6:00,439.93,441.92,15800,2.03,1.08E-05
2/18/2017 6:00,439.7,441.68,15000,1.97,1.07E-05
2/19/2017 6:00,439.95,441.32,12900,1.73,7.41E-06
2/20/2017 6:00,440.37,441.33,12100,1.62,5.19E-06
2/21/2017 6:00,440.54,441.51,12800,1.68,5.25E-06
2/22/2017 6:00,440.47,441.48,12900,1.7,5.47E-06
2/23/2017 6:00,440.53,441.49,10800,1.41,5.19E-06
2/24/2017 6:00,440.47,441.36,11300,1.49,4.82E-06
2/25/2017 6:00,440.58,441.47,11400,1.49,4.82E-06
2/26/2017 6:00,440.32,441.3,10400,1.38,5.30E-06
2/27/2017 6:00,440.74,441.58,10800,1.4,4.55E-06
2/28/2017 6:00,440.49,441.53,11100,1.44,5.63E-06
3/1/2017 6:00,440.58,441.66,11600,1.5,5.84E-06
3/2/2017 6:00,440.39,442.78,24100,2.93,1.29E-05
3/3/2017 6:00,440.85,443.63,29700,3.38,1.50E-05
3/4/2017 6:00,441.15,443.65,25700,2.9,1.35E-05
3/5/2017 6:00,441.26,443.41,24200,2.78,1.16E-05
3/6/2017 6:00,440.89,443.22,19500,2.26,1.26E-05
3/7/2017 6:00,440.79,443.15,13900,1.58,1.28E-05
3/8/2017 6:00,440.88,443,19900,2.35,1.15E-05
3/9/2017 6:00,440.82,442.7,19800,2.4,1.02E-05
3/10/2017 6:00,440.85,442.38,18100,2.24,8.28E-06
3/11/2017 6:00,440.4,441.93,15600,2,8.28E-06
3/12/2017 6:00,439.97,441.7,15000,1.96,9.36E-06
3/13/2017 6:00,439.59,441.35,12000,1.59,9.52E-06
3/14/2017 6:00,439.56,441.21,14300,1.95,8.93E-06
3/15/2017 6:00,439.96,440.75,11900,1.67,4.27E-06
3/16/2017 6:00,440.35,440.98,9820,1.33,3.41E-06
3/17/2017 6:00,440.45,441.22,10300,1.37,4.17E-06
3/18/2017 6:00,440.69,441.33,11000,1.45,3.46E-06
3/19/2017 6:00,440.38,441.25,10300,1.37,4.71E-06
3/20/2017 6:00,440.5,441.22,8510,1.11,3.90E-06
3/21/2017 6:00,440.57,441.64,14800,1.94,5.79E-06
3/22/2017 6:00,440.74,441.81,16200,2.11,5.79E-06
3/23/2017 6:00,440.72,441.82,14800,1.91,5.95E-06
3/24/2017 6:00,440.62,441.93,13600,1.73,7.09E-06
3/25/2017 6:00,440.94,441.96,14500,1.84,5.52E-06
3/26/2017 6:00,440.1,441.98,16000,2.05,1.02E-05
3/27/2017 6:00,439.98,442.06,19800,2.54,1.13E-05
3/28/2017 6:00,439.97,442.14,19100,2.43,1.17E-05
3/29/2017 6:00,440.02,442.09,18800,2.4,1.12E-05
3/30/2017 6:00,440.2,442.06,17800,2.27,1.01E-05
3/31/2017 6:00,441.37,443.44,32300,3.74,1.12E-05
4/1/2017 6:00,442.69,445.59,45400,4.41,1.57E-05
4/2/2017 6:00,444.46,447.41,56500,4.56,1.60E-05
4/3/2017 6:00,445.85,448.05,52600,3.97,1.19E-05
4/4/2017 6:00,446.46,448.19,44200,3.27,9.36E-06
4/5/2017 6:00,446.81,448.19,41700,3.08,7.47E-06
4/6/2017 6:00,447.47,448.43,42400,3.06,5.19E-06
4/7/2017 6:00,447.86,449.24,54200,3.65,7.47E-06
4/8/2017 6:00,448.64,450.21,64100,3.98,8.50E-06
4/9/2017 6:00,449.15,450.79,62300,3.68,8.87E-06
4/10/2017 6:00,449.38,450.86,54700,3.2,8.01E-06
4/11/2017 6:00,449.48,450.73,51100,3.01,6.76E-06
4/12/2017 6:00,449.3,450.46,42100,2.52,6.28E-06
4/13/2017 6:00,448.98,450.09,41700,2.58,6.01E-06
4/14/2017 6:00,448.66,449.67,39800,2.55,5.47E-06
4/15/2017 6:00,448.17,449.26,35100,2.32,5.90E-06
4/16/2017 6:00,447.81,448.97,31600,2.14,6.28E-06
4/17/2017 6:00,447.62,448.67,34700,2.43,5.68E-06
4/18/2017 6:00,447.4,448.47,34900,2.49,5.79E-06
4/19/2017 6:00,447.1,448.22,33400,2.44,6.06E-06
4/20/2017 6:00,446.75,447.91,31400,2.36,6.28E-06
4/21/2017 6:00,446.55,447.59,28300,2.19,5.63E-06
4/22/2017 6:00,446.22,447.1,25100,2.03,4.76E-06
4/23/2017 6:00,445.69,446.62,22800,1.93,5.03E-06
4/24/2017 6:00,445.19,446.21,21600,1.91,5.52E-06
4/25/2017 6:00,444.78,445.8,21200,1.96,5.52E-06
4/26/2017 6:00,444.25,445.43,20200,1.93,6.39E-06
4/27/2017 6:00,444.02,445.09,21100,2.09,5.79E-06
